Occurrence Date,Department,Municipality,Lat,Long,Confidence ratio (km),Deaths,Trigger,Source,Rain Yesterday,Rain Today,Landslide
2011-10-16,CHOCO,EL CARMEN DE ATRATO,5.81,-76.19,16.26,2,Unknown,UNGRD,18.2,25.6,1
2011-10-17,CESAR,PUEBLO BELLO,10.42,-73.61,15.41,1,Unknown,UNGRD,15.9,22.2,1
2011-10-19,BOLIVAR,CARTAGENA,10.44,-75.46,13.88,1,Unknown,UNGRD,75.9,17.1,1
2011-10-23,BOYACA,SOMONDOCO,4.97,-73.43,4.28,1,Unknown,UNGRD,5.2,15.5,1
2011-11-05,CALDAS,MANIZALES,5.06,-75.51,2.5,48,Rainfall,UNGRD,0.6,1.9,1
2011-11-05,QUINDIO,CALARCA,4.47,-75.66,8.35,4,Rainfall,UNGRD,0.5,1.7,1
2011-11-16,NORTE DE SANTANDER,TIBU,8.71,-72.8,29.19,1,Unknown,UNGRD,8.9,10.8,1
2011-11-20,CHOCO,TADO,5.27,-76.33,15.08,2,Unknown,UNGRD,9.2,6.1,1
2011-11-22,TOLIMA,HERVEO,5.07,-75.24,10.14,1,Unknown,UNGRD,8.8,4.5,1
2011-11-29,ANTIOQUIA,BARBOSA (A),6.44,-75.33,8.1,2,Unknown,UNGRD,17.5,4.2,1
2011-11-29,SANTANDER,RIONEGRO (S),7.29,-73.15,0.71,3,Rainfall,UNGRD,25.3,14.1,1
2011-11-30,RISARALDA,LA CELIA,4.99,-76.01,5.42,1,Unknown,UNGRD,2.6,2.0,1
2011-12-01,HUILA,GUADALUPE,1.98,-75.7,8.93,1,Unknown,DESINVENTAR,7.1,9.5,1
2011-12-05,TOLIMA,HERVEO,5.07,-75.24,10.14,7,Rainfall,UNGRD,10.9,13.7,1
2011-12-05,NARIÑO,EL ROSARIO,1.89,-77.48,12.87,1,Unknown,DESINVENTAR,5.7,3.0,1
2011-12-06,CAUCA,JAMBALO,2.85,-76.31,8.63,2,Unknown,UNGRD,13.5,8.7,1
2011-12-06,HUILA,TARQUI,2.11,-75.82,0.5,1,Unknown,UNGRD,17.4,19.6,1
2011-12-07,SANTANDER,TONA,7.17,-72.94,10.27,6,Rainfall,UNGRD,8.9,10.8,1
2011-12-07,CALDAS,NEIRA,5.18,-75.51,10.83,4,Unknown,DESINVENTAR,11.2,30.5,1
2011-12-07,NARIÑO,CONTADERO,0.93,-77.53,3.71,4,Unknown,DESINVENTAR,12.8,6.2,1
2011-12-07,NARIÑO,PASTO,1.08,-77.2,18.51,1,Unknown,UNGRD,12.8,6.2,1
2011-12-12,NARIÑO,LA CRUZ,1.58,-76.92,8.72,15,Rainfall,UNGRD,1.8,12.8,1
2011-12-12,HUILA,GUADALUPE,1.98,-75.7,8.93,1,Unknown,UNGRD,2.6,10.6,1
2011-12-13,SANTANDER,TONA,7.22,-72.99,2.91,1,Unknown,UNGRD,3.6,2.1,1
2011-12-16,CALDAS,RIOSUCIO (C),5.48,-75.71,0.76,9,Rainfall,UNGRD,22.8,10.9,1
2011-12-16,MAGDALENA,SANTA MARTA,11.12,-73.89,27.34,6,Rainfall,News report,2.0,3.1,1
2011-12-16,CALDAS,SAMANA,5.52,-75.0,15.52,5,Unknown,UNGRD,14.9,8.3,1
2011-12-16,HUILA,NEIVA,3.14,-75.56,2.48,1,Rainfall,UNGRD,8.3,21.6,1
